,loss,accuracy,val_loss,val_accuracy
0,1.0287889242172241,0.7065989971160889,0.5823765993118286,0.8014950156211853
1,0.40604525804519653,0.869035542011261,0.44465839862823486,0.8513289093971252
2,0.27984246611595154,0.9083525538444519,0.41630709171295166,0.869601309299469
3,0.2233249545097351,0.9261652231216431,0.4372103810310364,0.8679401874542236
4,0.190385639667511,0.9367789626121521,0.371811181306839,0.884551465511322
5,0.1403862088918686,0.953484058380127,0.41070735454559326,0.8795680999755859
6,0.1193237379193306,0.9597600102424622,0.35974323749542236,0.8779069781303406
7,0.11367987096309662,0.9618827700614929,0.4441138505935669,0.8720930218696594
8,0.10933040827512741,0.9647439122200012,0.4029332101345062,0.8862126469612122
9,0.09738986194133759,0.9682510495185852,0.4695737063884735,0.8720930218696594
10,0.06085379794239998,0.9800646305084229,0.5333139896392822,0.8679401874542236
11,0.09568598866462708,0.9665897488594055,0.4368569552898407,0.8870431780815125
12,0.09669651091098785,0.9687125086784363,0.4598245620727539,0.8754152655601501
13,0.048712607473134995,0.9832025766372681,0.42149701714515686,0.9003322124481201
14,0.034736793488264084,0.9896631240844727,0.6180316209793091,0.8737541437149048
15,0.07609490305185318,0.9736040830612183,0.49941277503967285,0.8762458562850952
16,0.07694057375192642,0.9734194874763489,0.6313871145248413,0.869601309299469
17,0.05561535432934761,0.9813567399978638,0.5720234513282776,0.8770763874053955
18,0.03286929801106453,0.9888324737548828,0.5693967938423157,0.8754152655601501
19,0.05301457270979881,0.9826488494873047,0.6128900647163391,0.869601309299469
20,0.06923475116491318,0.9775726795196533,0.6012290120124817,0.8729236125946045
21,0.05434749275445938,0.9836640357971191,0.5185095071792603,0.8903654217720032
22,0.018084930256009102,0.9950161576271057,0.5466026663780212,0.8853820562362671
23,0.07099352777004242,0.9749884605407715,0.6330258250236511,0.8754152655601501
24,0.058418937027454376,0.9801568984985352,0.5812298059463501,0.8870431780815125
25,0.02310519479215145,0.9919704794883728,0.7787582278251648,0.8588039875030518
26,0.03520413115620613,0.9882787466049194,0.7105306386947632,0.865448534488678
27,0.05046509578824043,0.9848638772964478,0.5040420293807983,0.8928571343421936
28,0.05579327046871185,0.9814490079879761,0.6235402226448059,0.8911960124969482
29,0.016782941296696663,0.9952007532119751,0.5055621862411499,0.9061461687088013
