,loss,accuracy,val_loss,val_accuracy
0,2.4882473945617676,0.4402736723423004,1.1537960767745972,0.8363787531852722
1,0.8955844044685364,0.9315930604934692,0.3855591416358948,0.9617940187454224
2,0.30508530139923096,0.9828751087188721,0.1551300287246704,0.9734219312667847
3,0.13072477281093597,0.9875960350036621,0.0913289487361908,0.9775747656822205
4,0.09224678575992584,0.9888919591903687,0.09678468853235245,0.974252462387085
5,0.06070268154144287,0.9901878833770752,0.22906912863254547,0.960132896900177
6,0.05544596165418625,0.9904656410217285,0.051126156002283096,0.9892026782035828
7,0.040471140295267105,0.9921318292617798,0.07829291373491287,0.9767441749572754
8,0.06599082797765732,0.9855595827102661,0.26775580644607544,0.9377076625823975
9,0.04034523665904999,0.9921318292617798,0.04804201051592827,0.985049843788147
10,0.033799514174461365,0.9920392632484436,0.043514132499694824,0.9875415563583374
11,0.020143959671258926,0.9959270358085632,0.04581264778971672,0.9900332093238831
12,0.004052331205457449,0.9996297359466553,0.046104080975055695,0.9908638000488281
13,0.0021831190679222345,1.0,0.041002221405506134,0.9925249218940735
14,0.0016644397983327508,1.0,0.03901014104485512,0.9941860437393188
15,0.0013702622381970286,1.0,0.041699960827827454,0.9933554530143738
16,0.0010917037725448608,1.0,0.04186495766043663,0.9933554530143738
17,0.0008794512250460684,1.0,0.04225960373878479,0.9925249218940735
18,0.0007444308721460402,1.0,0.042988087981939316,0.9925249218940735
19,0.0006247929995879531,1.0,0.04539976641535759,0.9916943311691284
