,loss,accuracy,val_loss,val_accuracy
0,0.9899095296859741,0.7142593264579773,0.6568813323974609,0.7923588156700134
1,0.4164494276046753,0.8651592135429382,0.5665580034255981,0.8363787531852722
2,0.30251625180244446,0.8993077874183655,0.5293146967887878,0.8272425532341003
3,0.2543855607509613,0.9149976968765259,0.43460771441459656,0.8671096563339233
4,0.1913784295320511,0.933179497718811,0.5179017782211304,0.8496677875518799
5,0.16535396873950958,0.9425011277198792,0.4395117163658142,0.865448534488678
6,0.1327948272228241,0.955237627029419,0.467101126909256,0.8629568219184875
7,0.12560948729515076,0.9582833647727966,0.5435096621513367,0.8637873530387878
8,0.1107822135090828,0.962344229221344,0.4953120946884155,0.8662790656089783
9,0.10923123359680176,0.9635440707206726,0.5228077173233032,0.8612957000732422
10,0.08467774093151093,0.9705584049224854,0.6207676529884338,0.8438538312911987
11,0.09850382804870605,0.9658514261245728,0.5733991265296936,0.8612957000732422
12,0.08233759552240372,0.9711121320724487,0.6653546690940857,0.8488371968269348
13,0.07030534744262695,0.9752653241157532,0.5776677131652832,0.8762458562850952
14,0.048503272235393524,0.9834794402122498,0.718249499797821,0.8579733967781067
15,0.058913782238960266,0.9801568984985352,0.6624554991722107,0.8588039875030518
16,0.07452160120010376,0.9763728380203247,0.7167655229568481,0.8579733967781067
17,0.08313418179750443,0.9749884605407715,0.6101430654525757,0.8671096563339233
18,0.06619913876056671,0.9787725210189819,0.7527379989624023,0.854651153087616
19,0.058729272335767746,0.9801568984985352,0.6316420435905457,0.8779069781303406
20,0.02726665697991848,0.9905860424041748,0.6918485760688782,0.8621262311935425
21,0.047099657356739044,0.9847715497016907,0.8409865498542786,0.8480066657066345
22,0.062410563230514526,0.9807106852531433,0.6506717801094055,0.8712624311447144
23,0.07026977092027664,0.9772034883499146,0.703620970249176,0.8671096563339233
24,0.04614245146512985,0.9848638772964478,0.6326630115509033,0.8787375688552856
25,0.04772641137242317,0.9856022000312805,0.882211446762085,0.8471760749816895
26,0.06975391507148743,0.9772958159446716,0.6773463487625122,0.8770763874053955
27,0.013373994268476963,0.9952930212020874,0.6381223797798157,0.8936877250671387
28,0.011904225684702396,0.9969543218612671,0.6650111675262451,0.8887042999267578
29,0.06873182952404022,0.9803414940834045,0.9572833776473999,0.8455149531364441
